id,title,url,num_points,num_comments,author,created_at
12296411,ask hn: how to improve my personal website?,,2,6,ahmedbaracat,2016-08-16 09:55:00
10610020,ask hn: am i the only one outraged by twitter shutting down share counts?,,28,29,tkfx,2015-11-22 13:43:00
11610310,ask hn: aby recent changes to css that broke mobile?,,1,1,polskibus,2016-05-02 10:14:00
12210105,ask hn: looking for employee #3 how do i do it?,,1,3,sph130,2016-08-02 14:20:00
10394168,ask hn: someone offered to buy my browser extension from me. what now?,,28,17,roykolak,2015-10-15 16:38:00
10284812,"ask hn: limiting cpu, memory, and i/o usage on a program for testing",,2,1,zatkin,2015-09-26 23:23:00
11548576,ask hn: which framework for a crud app in 2016?,,4,4,deafcalculus,2016-04-22 12:24:00
10573430,ask hn: enter market with a well-funded competitor?,,2,1,sparkling,2015-11-16 09:22:00
11168708,ask hn: do you use any realtime paas/framework and in case you so which one?,,2,1,stemuk,2016-02-24 17:57:00
11837056,ask hn: is there a home dropbox-style solution?  (better explanation inside),,3,2,coreyp_1,2016-06-04 17:17:00
10244832,ask hn: how would you sell open source software?,,11,7,wjh_,2015-09-19 17:04:00
10258332,ask hn: chat-app based on mail and pgp?,,1,1,Databay,2015-09-22 13:16:00
11946541,ask hn: what you wish you knew before launching your first wordpress plugin?,,1,1,wp_newb,2016-06-21 15:45:00
10897571,ask hn: how can we get porn sites to support https?,,8,4,lindx,2016-01-13 21:17:00
10328891,ask hn: looking for hacking games.,,3,4,dutchbrit,2015-10-04 21:27:00
10969705,ask hn: are gmail's new features making spam easier?,,3,2,aleem,2016-01-25 20:27:00
10455956,ask hn: $500k revenue business  shopify vs. custom website?,,4,3,jimmygatz,2015-10-27 02:47:00
10930122,ask hn: what you learned in 2015?,,2,1,justplay,2016-01-19 12:01:00
11333915,ask hn: critique my biz idea  local.menu the next airbnb,,2,22,andrewfromx,2016-03-22 02:05:00
10185714,ask hn: resources for learning asp.net?,,2,2,Catalyst4NaN,2015-09-08 14:04:00
12377598,"ask hn: help looking to find the x,y,z coordinates of a point in a room",,3,2,WheelsAtLarge,2016-08-28 18:06:00
12128917,"ask hn: apart from hn, what other websites you frequent for interesting content?",,19,7,TooSmugToFail,2016-07-20 13:44:00
12481330,"ask hn: how to you browse, store, sync, and backup your family photos?",,8,7,stevesearer,2016-09-12 16:52:00
11196895,ask hn: native way to tell whether a link has been submitted and discussed before?,,3,3,exolymph,2016-02-29 17:52:00
11520674,ask hn: do programmers without a degree struggle in canada (toronto)?,,12,6,nikon,2016-04-18 15:28:00
10801230,ask hn: is asset building as a service (abaas) a good idea?,,3,2,tboyd47,2015-12-28 14:38:00
11419246,ask hn: containers and network access?,,3,1,zaroth,2016-04-04 03:34:00
10912392,ask hn: what products/segments need an open source alternative?,,11,3,bhanu423,2016-01-15 21:47:00
10592934,ask hn: is college even worth it if you're worth your salt as a programmer?,,12,29,frame_perfect,2015-11-19 05:33:00
10766005,ask hn: look for help order and deliver birthday cake in sf,,1,2,singularitynear,2015-12-20 03:59:00
