Categories,no_of_apps,installs,avg rating,avg reviews,review frequency,install frequency
ART_AND_DESIGN,62,2003759.68,4.36,27651.16,frequently reviewed,most downloaded
AUTO_AND_VEHICLES,73,727805.48,4.19,15940.14,frequently reviewed,frequently downloaded
BEAUTY,42,640861.9,4.28,9407.93,rarely reviewed,frequently downloaded
BOOKS_AND_REFERENCE,178,10793773.34,4.35,123363.26,mostly reviewed,most downloaded
BUSINESS,303,3306165.41,4.12,46053.09,frequently reviewed,most downloaded
COMICS,58,966139.66,4.16,58309.4,frequently reviewed,frequently downloaded
COMMUNICATION,328,99534272.96,4.16,2486164.02,mostly reviewed,most downloaded
DATING,195,1355359.54,3.97,37389.94,frequently reviewed,most downloaded
EDUCATION,155,5621625.81,4.39,255451.68,mostly reviewed,most downloaded
ENTERTAINMENT,149,19256107.38,4.13,397168.82,mostly reviewed,most downloaded
EVENTS,45,354431.33,4.44,3568.67,rarely reviewed,frequently downloaded
FINANCE,323,2713970.28,4.13,54335.62,frequently reviewed,most downloaded
FOOD_AND_DRINK,109,2511722.48,4.17,81495.5,frequently reviewed,most downloaded
HEALTH_AND_FITNESS,297,5330155.62,4.28,127587.95,mostly reviewed,most downloaded
HOUSE_AND_HOME,76,2218184.21,4.2,52315.84,frequently reviewed,most downloaded
LIBRARIES_AND_DEMO,65,955123.08,4.18,15900.54,frequently reviewed,frequently downloaded
LIFESTYLE,314,1711978.09,4.09,41024.74,frequently reviewed,most downloaded
GAME,1097,31983466.47,4.29,1445232.07,mostly reviewed,most downloaded
FAMILY,1747,5871609.38,4.19,234815.73,mostly reviewed,most downloaded
MEDICAL,350,152015.93,4.19,4530.35,rarely reviewed,frequently downloaded
SOCIAL,259,54323712.26,4.26,2398614.25,mostly reviewed,most downloaded
SHOPPING,238,13646351.01,4.26,483365.68,mostly reviewed,most downloaded
PHOTOGRAPHY,317,31824110.82,4.19,673553.97,mostly reviewed,most downloaded
SPORTS,319,5489440.33,4.22,222036.26,mostly reviewed,most downloaded
TRAVEL_AND_LOCAL,226,30393182.74,4.11,277069.79,mostly reviewed,most downloaded
TOOLS,734,15600442.1,4.05,372185.51,mostly reviewed,most downloaded
PERSONALIZATION,314,7405582.58,4.34,284540.81,mostly reviewed,most downloaded
PRODUCTIVITY,351,40387664.33,4.21,325118.85,mostly reviewed,most downloaded
PARENTING,50,622322.2,4.3,19072.18,frequently reviewed,frequently downloaded
WEATHER,75,5681286.67,4.24,194729.27,mostly reviewed,most downloaded
VIDEO_PLAYERS,160,38886857.5,4.06,689873.07,mostly reviewed,most downloaded
NEWS_AND_MAGAZINES,233,32172577.9,4.13,233475.96,mostly reviewed,most downloaded
MAPS_AND_NAVIGATION,124,5840867.42,4.05,247250.48,mostly reviewed,most downloaded
