Unnamed: 0,Job ID,Agency,Posting Type,No Of Positions,Civil Service Title,Title Classification,Job Category,Full-Time/Part-Time indicator,Career Level,Salary Range From,Salary Range To,Salary Frequency,Required Qualification,Residency In Newyork,Posting Date
0,483894,HRA/DEPT OF SOCIAL SERVICES,Internal,1,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),92194,119610,Annual,baccalaureate degree,No,9/17/2021
1,483894,HRA/DEPT OF SOCIAL SERVICES,External,1,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),92194,119610,Annual,baccalaureate degree,No,9/17/2021
2,545827,HRA/DEPT OF SOCIAL SERVICES,External,1,COMPUTER SYSTEMS MANAGER,Competitive-1,"Technology, Data & Innovation ",full time,Manager,77688,152000,Annual,master's degree,No,8/15/2022
3,545827,HRA/DEPT OF SOCIAL SERVICES,Internal,1,COMPUTER SYSTEMS MANAGER,Competitive-1,"Technology, Data & Innovation ",full time,Manager,77688,152000,Annual,master's degree,No,8/15/2022
4,546738,HRA/DEPT OF SOCIAL SERVICES,External,1,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),85371,98177,Annual,baccalaureate degree,No,8/18/2022
5,546738,HRA/DEPT OF SOCIAL SERVICES,Internal,1,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),85371,98177,Annual,baccalaureate degree,No,8/18/2022
6,548965,HRA/DEPT OF SOCIAL SERVICES,Internal,1,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),92194,106023,Annual,baccalaureate degree,No,9/1/2022
7,548965,HRA/DEPT OF SOCIAL SERVICES,External,1,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),92194,106023,Annual,baccalaureate degree,No,9/1/2022
8,594066,HRA/DEPT OF SOCIAL SERVICES,Internal,1,TELECOMMUNICATIONS ASSOCIATE (,Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),66164,90680,Annual,baccalaureate degree,Yes,11/15/2023
9,594066,HRA/DEPT OF SOCIAL SERVICES,External,1,TELECOMMUNICATIONS ASSOCIATE (,Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),66164,90680,Annual,baccalaureate degree,Yes,11/15/2023
10,596043,HRA/DEPT OF SOCIAL SERVICES,External,3,COMPUTER ASSOC (OPERATIONS),Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),80161,97726,Annual,certificate,No,8/1/2023
11,596043,HRA/DEPT OF SOCIAL SERVICES,Internal,3,COMPUTER ASSOC (OPERATIONS),Competitive-1,"Technology, Data & Innovation ",full time,Experienced (non-manager),80161,97726,Annual,certificate,No,8/1/2023
12,600557,HRA/DEPT OF SOCIAL SERVICES,Internal,1,IT SERVICE MANAGEMENT SPECIALI,Non-Competitive-5,"Technology, Data & Innovation ",full time,Experienced (non-manager),75000,130000,Annual,baccalaureate degree,No,8/23/2023
13,600557,HRA/DEPT OF SOCIAL SERVICES,External,1,IT SERVICE MANAGEMENT SPECIALI,Non-Competitive-5,"Technology, Data & Innovation ",full time,Experienced (non-manager),75000,130000,Annual,baccalaureate degree,No,8/23/2023
